"","GSM335197.CEL","GSM335198.CEL","GSM335199.CEL","ent_gene","symbol_limma"
"218622_at",5.13535057370197,5.20794145851025,5.02223642112313,"79023","NUP37"
"218741_at",4.5005663495783,4.5173513770557,4.61267057250307,"79019","CENPM"
"215380_s_at",7.31732085404047,7.99393222122236,7.9112967715395,"79017","GGCT"
"218260_at",6.39367533197441,6.54605420545411,6.49199308539928,"79016","DDA1"
"219365_s_at",6.49722440791542,7.13427334172474,7.45380603058961,"79012","CAMKV"
"221699_s_at",7.37488697706199,7.31550996101932,7.28255588243133,"79009","DDX50"
"219051_x_at",6.8060979358939,6.39816540626723,6.43040401044611,"79006","METRN"
"218097_s_at",8.68288538706535,8.79852556366696,8.83684639015033,"79004","CUEDC2"
"221559_s_at",6.33344353719724,5.63724528277047,5.55976172945751,"79003","MIS12"
"217949_s_at",6.93390838536947,6.73935039095835,6.98818717897698,"79001","VKORC1"
"220011_at",5.03038982679597,5.28975733041133,5.47096816565152,"79000","AUNIP"
"202715_at",5.0966442121214,5.08311358709986,5.10516767614898,"790","CAD"
"220949_s_at",6.92856928816296,6.65144315346876,7.04973791099637,"78996","CYREN"
"218714_at",6.72367383655974,6.50892444750797,6.5957820434069,"78994","PRR14"
"218953_s_at",6.54277841176029,6.80524904038775,6.58801957678507,"78991","PCYOX1L"
"204386_s_at",9.0537749354268,8.8693158451511,8.63141558962517,"78988","MRPL57"
"203368_at",4.6641999139517,4.75983336604339,4.67157936391997,"78987","CRELD1"
"219144_at",7.03983602713857,7.16933264027369,7.0771718745167,"78986","DUSP26"
"206052_s_at",6.08330185131107,6.13571023687185,5.66344966814266,"7884","SLBP"
"210078_s_at",5.15142613851094,5.75662113128105,5.14043056786887,"7881","KCNAB1"
"203658_at",6.92337613205019,6.78116035414317,6.92655257080174,"788","SLC25A20"
"211960_s_at",6.22571694112363,5.98662663460041,5.74409232914796,"7879","RAB7A"
"201499_s_at",7.94090412186487,7.78205649226878,7.47548803751752,"7874","USP7"
"202655_at",8.00247741089326,7.93891588912175,7.83852746697214,"7873","MANF"
"202787_s_at",5.08171263545928,4.98653522237099,5.10687252640194,"7867","MAPKAPK3"
"209100_at",6.46241594772495,6.43044373170252,6.5898717194873,"7866","IFRD2"
"204035_at",4.99236833188139,7.50639020227099,6.95695297415942,"7857","SCG2"
"221245_s_at",4.9626027245473,4.03095311811753,4.12106113281683,"7855","FZD5"
"217028_at",5.26925742877412,5.27011441137279,4.99768637570839,"7852","CXCR4"
"205403_at",5.05377813499002,5.23887686882783,5.30056955862496,"7850","IL1R2"
"121_at",7.72930419520354,7.8772748468478,7.99836355941022,"7849","PAX8"
"209118_s_at",12.7550688102339,12.1787206934996,12.1935509925587,"7846","TUBA1A"
"202636_at",9.09616755532942,8.67211861330788,8.61200432538653,"7844","RNF103"
"214707_x_at",7.50249598961842,7.24276190393857,7.10390787181538,"7840","ALMS1"
"34726_at",4.34378418341833,5.05726231731906,5.16141693287913,"784","CACNB3"
"212012_at",5.53047016829849,5.63600918356387,5.70314344035294,"7837","PXDN"
"201235_s_at",5.90617097246861,6.39754826120902,6.32448497088122,"7832","BTG2"
"207776_s_at",4.49325343738258,5.31567523695569,4.8805090398588,"783","CACNB2"
"208822_s_at",7.54349069652076,7.62582087420155,7.59259166476202,"7818","DAP3"
"209717_at",5.56506092729642,5.4334141321287,5.45899818762815,"7813","EVI5"
"202646_s_at",8.76168051767234,8.5250949391048,8.29079710629992,"7812","CSDE1"
"201720_s_at",7.20493734512028,8.30671777721422,8.12766196809354,"7805","LAPTM5"
"208433_s_at",5.50849091137761,6.27037847124343,6.1332236922,"7804","LRP8"
"200732_s_at",8.70122109208174,8.77256725895963,8.55007527114001,"7803","PTP4A1"
"205277_at",6.08731205543902,6.71915303392379,6.7120498781571,"7799","PRDM2"
"221832_s_at",6.23087031851322,6.65025483467779,6.58516906556273,"7798","LUZP1"
"200808_s_at",5.83840185514896,5.96881257792357,6.11244126528974,"7791","ZYX"
"205448_s_at",6.44286055339501,6.55482672049498,6.49539570156156,"7786","MAP3K12"
"212907_at",8.04175487268726,8.24603591127867,8.07733552785371,"7779","SLC30A1"
"47571_at",7.55419160793688,7.47267467379556,7.48521324887946,"7776","ZNF236"
"219123_at",5.88932498180099,5.51400106948961,5.41174957226022,"7775","ZNF232"
"222237_s_at",4.40834228021779,4.21240825157047,4.09599639148834,"7771","ZNF112"
"219603_s_at",5.28054701689605,5.39650975487338,4.99448255453391,"7769","ZNF226"
"220019_s_at",5.10644710611019,4.98759259964355,5.09855815560216,"7767","ZNF224"
"207128_s_at",4.80735758660279,5.05826729559252,4.92776490748825,"7766","ZNF223"
"203739_at",4.09930820666622,3.93056034163049,3.9718333173627,"7764","ZNF217"
"217649_at",4.14417466691036,4.3807231746067,4.13906507852337,"7763","ZFAND5"
"210108_at",4.0108181823627,4.31455837221177,4.20224945176969,"776","CACNA1D"
"200829_x_at",8.36897380467392,8.06461107038518,7.74697882536093,"7756","ZNF207"
"204327_s_at",5.58554899376043,5.34654225907086,5.42982955271346,"7753","ZNF202"
"214706_at",5.43166942602081,5.35049623431697,5.3817160879405,"7752","ZNF200"
"202778_s_at",6.9818218151866,6.63323932985791,6.36658770543654,"7750","ZMYM2"
"204234_s_at",5.78109070351584,5.72899553792319,5.39960185517908,"7748","ZNF195"
"205181_at",5.29332822000427,5.20142574077634,5.20142574077634,"7746","ZSCAN9"
"206579_at",4.02255408375276,4.00179180208752,3.98658779139114,"7745","ZKSCAN8"
"207513_s_at",8.08672797006207,7.29195893186004,7.49487459080262,"7743","ZNF189"
"213218_at",5.60048886727577,5.41061006527885,5.19394953836304,"7741","ZSCAN26"
