"","GSM2417003","GSM2417004","GSM2417005","GSM2417006","GSM2417007","GSM2417009","GSM2417011","GSM2417015","GSM2417016","ent_gene","symbol_limma"
"11717283_a_at",5.24861335011607,5.56927555101789,5.47144303959581,5.16049206594667,5.91921415587046,5.58622115376165,5.65874662416523,5.25907529538032,5.59094290640746,"50807","ASAP1"
"11737026_at",3.83236184001532,3.99489533881146,3.61623019730561,3.61623019730561,3.83090344249291,3.68594505513238,3.540603583082,3.842067167226,3.63723591698297,"50805","IRX4"
"11727996_a_at",6.93672525981616,7.22311879768833,7.22159130713808,7.42010782543881,8.20663874320535,7.3777961644419,7.33107241047295,8.19929033656042,7.0320240314158,"50804","MYEF2"
"11742271_s_at",3.73937421643451,4.06350652985016,3.57073026503909,3.90365440312126,3.54476667854567,3.92429623245648,3.70974021615501,3.6845576558087,4.07460337472519,"50801","KCNK4"
"11754849_a_at",7.82364319942528,7.31099405662498,6.96778399783238,6.9606972256618,7.66175919104384,7.84592742056171,6.84427354766473,7.08711339041734,6.65212503602577,"5080","PAX6"
"11753864_x_at",3.49303381213976,3.85298860371436,3.64485817356443,3.71090637454399,3.50756928267121,3.3686232234944,3.65130425297477,3.700239302128,3.63797523535398,"5079","PAX5"
"11738643_at",3.33801057958219,3.24981267687165,3.2402160773005,3.33932761076852,3.23046850907358,3.29307842388906,3.48910427965416,3.18737761675834,3.35476976051406,"5078","PAX4"
"11726239_a_at",3.66724501581428,2.94980313772944,3.16594693614825,3.05426131309043,2.94479212123916,3.05708414891478,3.06907123105568,3.33817581402558,2.95535421014135,"5077","PAX3"
"11728623_a_at",2.9943038192643,3.25966896656477,2.88832451789218,2.99361662528116,2.85571537960057,3.01382567208486,2.98837643624908,3.10955523166133,2.98421449434654,"5076","PAX2"
"11730149_at",3.5356704090646,3.2983647560217,3.56827869621691,3.42304136910909,3.41145010443272,3.70671109315951,3.23780899824821,4.7737049889864,3.54620066330961,"5075","PAX1"
"11731569_at",3.45053996198138,4.22575808834631,3.76879797976037,3.29915412778147,3.20477228343045,4.12378003430336,3.55796149807023,3.52712794093372,3.69592880704696,"5074","PAWR"
"11720492_a_at",7.55427132106013,7.71614104725195,7.80980079039498,7.7620803801675,7.80968982646691,7.54002271134573,7.69180768981226,7.92067710307742,7.67125871537878,"5073","PARN"
"11717700_at",8.08252024917217,8.3712789876,8.18832502607687,8.23912172474559,8.52163410139229,8.02848755149327,7.94887823934576,8.40156264822741,7.9991404133613,"50717","DCAF8"
"11740617_x_at",6.63455163364488,6.14709389814683,5.34392992085221,6.57764305871377,5.66416123677662,6.19536015316533,6.60589535514145,5.73965170545593,6.50944059142889,"5071","PARK2"
"11734433_at",3.47066629069624,3.56632144947997,3.28591271904244,3.48521050522032,3.23137300991633,3.26407469314532,3.31241465876334,3.27802861542155,3.35913183944096,"50700","RDH8"
"11727018_s_at",3.22569807599528,3.56076477864907,3.71878116501724,3.4484558877085,3.34659920726127,3.10066943231636,3.23365868249766,3.64654435892067,3.30251621712279,"5069","PAPPA"
