"","GSM317711.CEL","GSM317712.CEL","GSM317713.CEL","GSM317714.CEL","GSM317715.CEL","GSM317716.CEL","GSM317717.CEL","GSM317718.CEL","GSM317719.CEL","GSM317720.CEL","GSM317721.CEL","GSM317722.CEL","ent_gene","symbol_limma"
"36970_at",7.98614732149295,7.64741987112146,8.11630120866525,8.16223982934368,8.23194047111785,7.93309123375049,8.18608754798398,8.18964256655464,8.34333290820818,8.42896025843198,8.28054154978663,8.39313368490616,"23199","GSE1"
"36978_at",7.2490943005307,7.22308150122202,7.52384696312157,7.2433288075356,7.35544770780821,6.46904785747296,7.21855744511794,6.77103642852006,6.05363917528834,6.54874351406946,6.67623241385422,6.62043846723908,"23198","PSME4"
"37030_at",9.14170859144264,9.14059654229462,8.91183204703037,9.00890684274917,9.29200494350638,8.86654607377028,8.55050832928125,8.88083906259604,9.04771086300133,8.80078354424295,8.52834633259346,8.50673097653413,"23197","FAF2"
"37031_at",9.77109941290204,9.69292635014854,9.91287777036021,9.83146770701235,10.3447836435299,9.28715303100059,9.95815738824771,9.52371916029521,9.05405296423585,9.17399301040622,9.32321629711452,9.4662904241733,"23196","FAM120A"
"37036_at",7.50788447165755,8.48909425244199,8.1134283162724,8.07772596263373,8.12889317886678,7.54980248201676,8.17509452688144,8.0708117795608,8.16076554033377,7.99153253794225,8.00374903729929,8.00175239814507,"23195","MDN1"
"37205_at",11.3425604481447,10.4140532877087,11.7108511885719,11.3259710638342,12.0799302593848,11.2477141748984,11.0846665394381,11.3293910534823,10.7640626831305,10.9722517796587,11.0356341131397,10.9093046243736,"23194","FBXL7"
"37040_at",12.6136800270129,11.2482749056847,12.1243662232916,12.551951359417,12.2920827535997,11.8827569088962,12.3005529539523,12.0626963684821,11.4755864036696,11.370227557296,11.4898990080818,11.3544634365097,"23193","GANAB"
"37041_at",9.68430027048621,10.3665369093507,10.3486876934618,9.91902482880475,10.3958060476136,9.94337612213749,10.5014155401152,10.5040559089855,10.5957788678763,10.5454233400269,10.2708358775448,10.3385546136713,"23192","ATG4B"
"37306_at",11.3338027523862,12.019037876491,12.1738682652329,11.0465516431132,11.9205935965545,11.0785250995313,12.0434049377032,11.5615973455707,10.7187407813469,10.7501899462206,10.8807040349342,11.7398134567643,"23191","CYFIP1"
"37336_at",11.2285352501046,10.9384638253746,10.8293413821527,10.9130405640789,11.3205749127976,10.0107711290963,11.3001459117085,10.6290040611317,9.9079166289991,10.5912077191196,10.7851927086307,10.8990085744208,"23190","UBXN4"
"32181_at",10.6990698628909,11.4018678780864,11.0695900593147,11.3316807131654,10.8726822453698,11.2150786405474,11.2890137331107,11.1208391295543,11.1334261053584,11.0820773480924,11.2225890636316,11.0288792272943,"2319","FLOT2"
"37225_at",8.07125510754735,10.2220011396969,8.30728022575918,7.89399001900555,9.73401916018701,8.60639290189253,8.56385724431225,8.87709158435472,7.80571327004873,8.19796689991388,8.84283983478378,8.36737512107378,"23189","KANK1"
"37651_at",7.42944932993782,8.28196888462589,7.23765050041513,7.31387671439296,8.35145657540988,6.80995715806438,8.38591694252244,7.31448175897743,7.26584630337214,7.1480371676297,7.4442527224394,7.25094367093151,"23186","RCOR1"
"32586_at",9.81823075992963,10.6476146764315,10.2834299049711,10.2690953717413,10.5052091256179,9.58276774751846,10.2956539262064,10.8675299412718,10.9600899551122,10.6039401361609,10.3503794842879,10.2342708589087,"23185","LARP4B"
"32593_at",10.7193952842824,9.0515479658734,11.0190958871931,10.1459322026987,10.8307855130255,10.8043907870429,10.5466927667213,10.2334284099986,9.29880065699771,9.97432662778671,9.94635749536663,10.3057101889391,"23180","RFTN1"
"35330_at",10.8824421555294,9.35417329693344,12.1143738905803,11.0502277064701,12.0286650618797,9.82203988597577,9.94056550099737,10.2341957682426,9.8454946644702,9.45133909624357,9.42734231282248,9.40797179601425,"2318","FLNC"
"37539_at",9.41922726918049,9.97913330530464,10.7943744255822,9.62029343776178,10.2051489792915,9.12820450827665,10.2572711177685,10.4756556001118,10.2638772762449,10.073722306017,10.0703973636649,10.1678259244043,"23179","RGL1"
"40191_s_at",8.81077443040562,8.6781558006349,8.71034138117798,8.15882453334326,8.59478653093331,8.32505355160013,8.07005399522144,8.96274378005353,9.146154346535,9.62677303104774,9.39256604555328,8.98401703065669,"23177","CEP68"
"38067_at",10.0000891600071,11.0281180698619,10.4070049939432,10.5663417683801,10.7467132813316,9.97991058353741,11.0213474737669,10.6170137858629,9.13215420395583,9.44954563713699,9.64883844513114,9.72260080194964,"23176","SEPTIN8"
"38098_at",8.77720980770251,8.40471925750522,9.7809295196585,8.64490797904697,9.77233025039119,7.26071315337559,8.60632156502073,9.39622137431071,9.2515214876797,9.68297805493209,9.42681232883578,8.98732352208084,"23175","LPIN1"
"38101_at",9.77789314176393,11.5265697667174,10.7252318477514,10.2677610336563,10.671786142107,10.2907059490664,10.636597620168,10.5776395782394,10.4877048185871,10.3076150503713,10.0561830835848,9.88745556139869,"23174","ZCCHC14"
"37619_at",9.16766963485842,10.4386832821551,9.73893354265999,9.78247783656921,9.7572966034156,9.27836306197457,9.94441405434115,9.65184625031419,9.86770721605511,9.84078232789113,9.93306005554247,9.9793096819396,"23173","METAP1"
"37642_at",8.16352234081705,8.87335902839224,8.14989896956338,8.08559212186961,8.26176418715495,8.01496677918206,8.57031937651644,8.58444031501949,8.38507993530021,8.93002777909204,8.84510862081616,8.78365959041952,"23172","ABRAXAS2"
"38394_at",10.3153760676091,10.5901439938637,9.73191488865546,9.76548670093644,9.89362039569635,9.59029933697234,10.0335815509446,10.3310540044075,10.3820811556193,10.4506424631735,10.409371725521,10.2681946400329,"23171","GPD1L"
"37648_at",10.2313701490927,10.5374380159745,10.6232176105401,10.7743938218447,10.6892366196129,10.3688441940136,10.7396720231193,10.5986565219087,10.6390856861487,10.7505749679371,10.7944202325573,10.7160104045408,"23170","TTLL12"
"38078_at",8.99892119091138,9.43793455445818,8.86335585772114,8.68965907837856,8.61489017072124,8.59600591427178,8.82634219407918,8.62978227730927,8.19834355212475,8.45735289309801,8.31249142945834,8.3046058674276,"2317","FLNB"
"37888_at",10.2230860178815,9.97026795272944,9.92010734419334,10.1558810885924,10.0274070479914,9.98385757511811,10.137793995735,10.029690563032,9.94775728059929,9.64141136147967,9.65225612346401,9.62877109821145,"23169","SLC35D1"
"38436_at",7.83416682903064,9.11950691420597,7.70256954304289,7.94208007427537,8.72059839069042,7.74780877666987,8.297986460985,8.52219345497148,9.03641357960852,8.97617202205324,8.70843076853192,8.80625061652337,"23168","RTF1"
"38472_at",10.2929598795254,10.8173473275989,9.76072918147958,9.38514691019552,10.1104406415461,9.60949794717642,10.1059214187636,10.6824605933301,10.853088576314,10.8310535624793,10.8970521891058,10.6379009745895,"23167","EFR3A"
"38487_at",11.1685442379068,10.3306579999603,10.6278223110401,11.4871515780841,11.0197807798594,10.7639328361504,12.0187160161177,10.4375831823061,10.2696028932385,10.410502886249,10.2767830528452,10.4634116670628,"23166","STAB1"
"38728_at",10.1530705285029,9.7327492076292,9.74015317108742,9.44945999883008,9.62360770087624,8.84600540891987,9.62595555995932,8.87754438267398,8.50768708959885,8.26331810864563,8.20877189941661,8.24087908948613,"23165","NUP205"
"38730_at",11.461191046741,11.4434946390073,11.6789211662103,11.8343234579021,11.0453834251341,11.2991715058185,11.5666781311965,12.0372441461648,11.8738521302687,11.9854548925718,11.9356559436239,11.9389367968943,"23164","MPRIP"
"37959_at",9.19377730262773,9.52968831265323,9.65578139591323,9.37193568274339,9.85810486609986,9.14212776039303,9.84156175150534,9.73202802472572,9.76903244358611,9.64694700256165,9.64767853585762,9.43714350365715,"23163","GGA3"
"37970_at",11.1517104207556,11.547474668834,11.3585509728345,11.3923431364792,10.6885191443847,11.4975095148004,10.8162998488759,12.1039355008186,12.7485725827094,12.2745392808756,12.3178302664197,12.3861092785546,"23162","MAPK8IP3"
"37973_at",8.94618021518859,9.13311980283993,9.22677860579124,9.02700624132117,8.82822301551029,9.46927568387286,9.02910063820643,8.63379636735477,8.78206475387075,8.79618254651217,8.82174636891225,9.07615911823115,"23161","SNX13"
"38250_at",7.84635563224712,8.61396618458775,8.15552230242845,8.6605429105687,8.6310354602197,8.06373296345516,8.88468871615073,7.74242260536202,7.93495705598374,7.88802952972856,8.30595175049062,7.94097995056805,"23160","WDR43"
"32749_s_at",12.8024348177143,11.4118054977156,10.9779131510212,12.5781017142719,12.1930573215797,11.2441725104932,12.0804549391403,11.0002028406952,10.1584128979643,10.1157391779867,10.3028195354533,10.783934739889,"2316","FLNA"
"38254_at",10.5359593652389,10.9266204579931,10.4667013131889,10.4877792536509,10.2831423459409,10.0575638501663,10.3777901173013,11.3503187726819,11.8754631890887,11.5945248539185,11.550106328505,11.4015947302305,"23158","TBC1D9"
"38826_at",8.92005192276694,9.34800686981443,8.21724321022329,8.70481628296568,8.81041824166772,8.43207640289511,9.23404520338486,8.48209281027502,7.47062612766137,7.4624826679312,7.45642266096717,7.19330283488862,"23157","SEPTIN6"
"33185_at",6.39303373082287,6.93414955594609,6.46939073295741,6.70619471485237,6.54097177727325,6.69189344700224,6.56277295909393,6.49371404711697,6.28021147170415,6.40865954276163,6.24745994430913,6.24926810783779,"23155","CLCC1"
"38308_g_at",10.6946464970942,10.7970760267901,11.2180728242825,10.7574687703693,10.7201643692823,11.0507528071013,11.0051681013894,13.1653424872971,14.2485735724115,14.6920923560545,14.5392321360684,14.2336640742805,"23154","NCDN"
"38314_at",10.3232178415178,11.0056325872725,10.4777037130859,10.7998362264184,10.5655615561568,10.5621565981681,10.5207814451727,10.8417466990043,10.7082588984633,11.2746852872977,11.1821549921454,11.152400886623,"23152","CIC"
"39135_at",8.89456059558022,8.5189775899115,9.23313296401498,8.9029371002822,10.1063983005842,8.41962707464617,9.16774017654041,9.48613993952005,8.7337067569964,8.84877859482507,9.05588705967353,8.98133559736841,"23151","GRAMD4"
