"","GSM3242250","GSM3242251","GSM3242252","GSM3242253","GSM3242254","GSM3242255","GSM3242256","GSM3242257","ent_gene","symbol_limma"
"ILMN_1770629",4.13311894131609,4.04381092441799,4.60572780419785,4.64350698174208,4.26316146111088,4.43608175685797,3.18113037995421,3.32400203862492,"57030","SLC17A7"
"ILMN_1736441",4.29459734518082,4.38391588045477,4.97662214233372,4.79391551059397,4.99542148357139,4.86462773653167,3.67699484058037,3.88653977130022,"57026","PDXP"
"ILMN_1729450",1.50703203739427,1.41017276351515,1.35564083212425,1.30402147179684,1.33011686310948,1.42233603724509,1.72519994460722,1.61916086018835,"57020","VPS35L"
"ILMN_1809010",3.5203265669262,3.61275208005311,3.69769360356953,3.72010759581585,3.62020542059734,3.80685552998016,3.37808146009032,3.48495288260677,"5702","PSMC3"
"ILMN_1735199",1.40906384483294,1.34962605385335,1.61704862459114,1.55703201975107,1.41268383780543,1.54933861622059,1.34880444862644,1.37946148900684,"57019","CIAPIN1"
"ILMN_1683129",0.260140447420881,0.187754665380161,0.436355211732199,0.298868351116899,0.319677907867904,0.327861246329458,0.54291356382618,0.330811087227885,"57018","CCNL1"
"ILMN_1756898",2.42651462499825,2.29446320399028,2.51437038501423,2.47329769518115,2.44444096745445,2.53200431991541,2.35811287964825,2.27400786538589,"57017","COQ9"
"ILMN_1768784",3.48305338921798,3.55477617478378,3.47221477349219,3.4859692394759,3.41003443526384,3.49669462296918,3.67168951573416,3.63122140534283,"5701","PSMC2"
"ILMN_1798360",1.95964720687431,1.54729641422755,2.04158695624097,2.13800691946965,2.07418314092628,2.76519158078151,1.40906384483294,1.03299804341961,"57007","ACKR3"
"ILMN_1804522",1.13415283703994,1.29141389002853,1.19244584730284,1.1954025305424,1.10721921994286,0.961322421582394,1.43374129695402,1.47118332041434,"57003","CCDC47"
"ILMN_1793508",1.6142376693718,1.41034148634092,1.56478962587515,1.55632378479779,1.41034148634092,1.61704862459114,1.68924912716298,1.75534933336414,"57002","YAE1"
"ILMN_2134039",1.93612180374062,1.65548810357066,1.95513667016418,1.8027999446184,1.87228053818092,1.91899103325793,1.75863166293836,1.72737736414438,"57001","SDHAF3"
"ILMN_3218538",0.918198798380391,0.852565401200455,0.830738992222814,0.812145738877074,0.846844484159679,0.77842521441338,0.859046929310219,0.808664719640534,"5700","PSMC1"
"ILMN_1805543",1.19773903957474,0.48985750048082,0.676494791881787,0.939070075647475,0.682559062321154,0.837925871833457,0.71897533203298,0.336323967567511,"56999","ADAMTS9"
"ILMN_1688103",2.41349433061762,2.53790784898843,2.58878623465892,2.5670030761265,2.7695717759049,2.52686574643527,2.30570313409006,2.48109572788037,"56998","CTNNBIP1"
"ILMN_1731064",1.74575067628036,2.07104160720084,2.03615661279761,2.03459309924453,1.9985700705526,2.05243447492426,2.15859032271953,2.17683148022669,"56997","COQ8A"
"ILMN_1695962",2.58370272008601,2.97852128143824,2.40203553014427,2.26188129318406,2.46540850758305,2.43848555334348,3.16791585363782,2.96783925496204,"56996","SLC12A9"
"ILMN_1720965",3.64146739677705,3.7891144789276,3.39740443047708,3.43751446630722,3.68637433792887,3.30016243618374,4.01100819579931,4.08659048740373,"56995","TULP4"
"ILMN_2202940",1.7453621653363,1.62555318311613,1.8605116032429,1.73726380184884,1.75823369846493,1.76987844849316,1.30957847038843,1.33986905587497,"56994","CHPT1"
"ILMN_1714623",2.63855674284606,2.73151111054458,2.74524169792751,2.80270557282403,2.84551548328876,3.01666665561563,2.64209059229424,2.72221259299632,"56993","TOMM22"
"ILMN_1735594",0.75554448558436,0.553172586196961,0.606882607471824,0.741566122836218,0.595203968897122,0.463714827545171,0.949503493244932,0.940575669194142,"56990","CDC42SE2"
"ILMN_1683026",3.94298041398461,4.09828663190027,4.09828663190027,3.96196854527126,4.15112850472611,4.4113058514399,3.79117904937577,4.11471793482498,"5699","PSMB10"
"ILMN_1745415",3.25961412363181,3.44383975019679,2.75396512348758,2.56392420094269,3.06976239464462,2.8758897522217,3.81935563889899,3.72672538675325,"56987","BBX"
"ILMN_1740861",1.37759109640153,1.17476994673074,1.12345209940237,1.0766295559971,1.3047643909759,1.22475451037347,1.34072814853025,1.46332588579399,"56986","DTWD1"
"ILMN_1702526",0.80204227532274,0.920689937143869,1.10735182835157,0.766401562720335,1.03898259319205,1.02347207502336,1.09852364447484,0.938903895980628,"56985","ADPRM"
"ILMN_2088410",3.0021356777194,2.98513573938709,2.88046787385903,2.8029669018025,2.84523555145783,3.14845425042098,3.05540445692254,3.11590657668426,"56984","PSMG2"
"ILMN_1774800",1.29677472678435,1.49612963058994,1.26097834075485,1.34977074133265,1.22343529916365,1.13926078565857,1.76148797877824,1.58093347654245,"56983","POGLUT1"
"ILMN_2352293",1.65057531276194,1.77009502851118,1.6945915075844,1.78588170269311,1.74828280447695,1.52135411083837,1.66804085134047,1.58603070709603,"56980","PRDM10"
"ILMN_2376108",1.19271233624014,1.15950539216975,0.816536212950893,0.970069543880251,1.04935817159766,0.945808605891756,1.27103863890446,1.097294605135,"5698","PSMB9"
"ILMN_1761598",0.302094468458325,0.361857493851768,0.517219925409512,0.437620443286789,0.422244340090226,0.435973304352461,0.434893160177219,0.389665066594648,"56979","PRDM9"
"ILMN_1802082",2.37004609818236,2.87755467733855,2.86665448654497,2.96470449455157,2.97591715325667,2.76486964110673,2.43743755877085,2.58953939054104,"56978","PRDM8"
"ILMN_1803256",4.1276843911088,4.19971619435975,4.33716595400253,4.28456870578828,4.10826585398927,4.37658794970155,4.43608175685797,4.21324392194513,"56977","STOX2"
"ILMN_1712684",1.83699424748615,1.76499972938309,1.69693496017711,1.81498406415849,1.70481064992334,1.76589364535456,1.70834381373024,1.81901267912707,"56975","FAM20C"
"ILMN_1862018",2.38893916406174,2.76145287001857,3.30440445187298,3.05501750766853,3.07589916705723,2.98256737639071,2.1341116546768,2.47942116717011,"56970","ATXN7L3"
"ILMN_1752897",1.83572078436178,1.96807414554081,1.81630478672722,1.81095548767548,1.67098520012637,1.77748125292469,1.96897600438346,1.88910530960777,"56969","RPL23AP32"
"ILMN_1713744",4.61652229934604,4.80817118412231,5.03714837859254,5.08288322846963,4.76194682005136,4.81315158954424,4.3393476596792,4.07675028772719,"56967","C14orf132"
"ILMN_1662256",1.13710197085543,1.07788665189219,1.30034239316439,1.29690526410484,1.29790589542428,1.12456145681942,0.903372316102235,0.743721164434831,"56965","PARP6"
"ILMN_1717636",3.61807388545584,3.0678621602259,3.52080999051452,3.54361501355276,3.46680190588113,3.13335068834427,2.56951582494576,2.53692691654381,"56963","RGMA"
"ILMN_1747195",1.06809507595154,1.1169867767733,0.756082490728043,0.791970595740451,1.02586266427391,0.998372872621794,0.764553304796392,0.898233632995813,"5696","PSMB8"
"ILMN_3239298",0.466443596866149,0.228896032694259,0.621012984323159,0.514453879785382,0.339153196553062,0.554658795301455,0.602674837551741,0.323119394237979,"56957","OTUD7B"
"ILMN_2200503",1.37401829203504,1.52612335433628,1.47133534922793,1.59277447864512,1.40136750926836,1.58300873134656,1.37506297094573,1.41244201238974,"56954","NIT2"
"ILMN_1675617",0.603337091913194,0.626535173761665,0.80548642476794,0.867247194981254,0.989980598601318,0.949503493244932,0.461697677578772,0.618918948342525,"56953","NT5M"
"ILMN_1708516",2.83947698964792,2.39093399674551,2.25784970523954,2.1418721863032,2.31866983451113,2.36806181184302,2.89807628973312,2.74376063389776,"56952","PRTFDC1"
"ILMN_1695917",3.49139187950823,3.41247891575003,3.05569879661854,3.13158332339445,3.22024823614273,3.24137544082424,3.69644577917224,3.73305183471604,"56951","C5orf15"
"ILMN_1721605",2.07661763162,2.02972107395675,2.3717431859206,2.48891677161435,2.20509524760122,2.15140198274786,1.57898558713375,1.70297406695577,"56950","SMYD2"
"ILMN_1814156",3.8491444353374,3.85073579647562,4.01733429484968,3.98764546321103,3.84280208787275,4.08189407542934,3.82581850081737,3.81238195529507,"5695","PSMB7"
"ILMN_1771057",1.78978280904967,2.0708564100834,2.0093994478301,2.35897579491114,1.92092462075585,2.12314505308113,2.45165466642951,2.26682827343114,"56949","XAB2"
"ILMN_1719606",1.60169463686888,1.61136446182201,1.43903472808814,1.34822515948328,1.54451327089392,1.54334944617416,1.70119962787525,1.6704229536051,"56947","MFF"
"ILMN_1812134",0.315183645180779,0.279615300221433,0.357977587912544,0.320496371834214,0.501322051927361,0.349485039488888,0.345910271352677,0.429379608982825,"56946","EMSY"
